iter	Passed	Remaining
398	88932	133955
399	89133	133700
400	89336	133448
401	89526	133176
402	89729	132924
403	89950	132699
404	90153	132448
405	90340	132172
406	90523	131893
407	90719	131631
408	90924	131384
409	91117	131120
410	91320	130869
411	91520	130616
412	91706	130343
413	91897	130077
414	92087	129809
415	92285	129554
416	92478	129292
417	92677	129038
418	92876	128785
419	93082	128542
420	93290	128302
421	93504	128069
422	93714	127832
423	93932	127606
424	94156	127388
425	94360	127143
426	94571	126907
427	94784	126675
428	94982	126421
429	95184	126174
430	95379	125918
431	95582	125673
432	95779	125419
433	95972	125162
434	96158	124895
435	96349	124635
436	96551	124390
437	96753	124144
438	96943	123884
439	97137	123629
440	97330	123373
441	97520	123113
442	97709	122854
443	97914	122613
444	98109	122361
445	98296	122099
446	98485	121840
447	98672	121578
448	98881	121344
449	99077	121094
450	99276	120848
451	99462	120586
452	99659	120339
453	99855	120090
454	100053	119843
455	100251	119598
456	100443	119344
457	100673	119137
458	100943	118977
459	101135	118724
460	101322	118465
461	101517	118217
462	101709	117965
463	101900	117712
464	102089	117458
465	102276	117200
466	102472	116954
467	102678	116720
468	102879	116480
469	103065	116222
470	103259	115975
471	103455	115729
472	103652	115485
473	103837	115229
474	104029	114979
475	104219	114729
476	104416	114486
477	104609	114238
478	104807	113997
479	104995	113745
480	105196	113506
481	105397	113269
482	105600	113034
483	105799	112794
484	105989	112545
485	106179	112297
486	106372	112051
487	106566	111807
488	106758	111561
489	106951	111316
490	107143	111071
491	107337	110828
492	107527	110581
493	107718	110335
494	107909	110089
495	108100	109843
496	108290	109597
497	108484	109356
498	108682	109117
499	108873	108873
500	109068	108633
501	109258	108388
502	109459	108154
503	109650	107909
504	109863	107687
505	110056	107446
506	110247	107203
507	110441	106963
508	110636	106724
509	110831	106485
510	111025	106245
511	111227	106013
512	111421	105774
513	111620	105540
514	111811	105297
515	111996	105051
516	112191	104812
517	112396	104585
518	112584	104341
519	112772	104097
520	112962	103856
521	113149	103612
522	113345	103376
523	113543	103142
524	113751	102917
525	113945	102680
526	114132	102437
527	114323	102198
528	114513	101957
529	114705	101719
530	114901	101485
531	115092	101246
532	115288	101012
533	115480	100774
534	115716	100575
535	115907	100337
536	116095	100097
537	116278	99852
538	116471	99616
539	116663	99380
540	116851	99139
541	117035	98897
542	117219	98654
543	117411	98418
544	117613	98191
545	117821	97968
546	118015	97734
547	118202	97495
548	118403	97267
549	118596	97033
550	118785	96796
551	118984	96567
552	119175	96331
553	119369	96098
554	119557	95861
555	119749	95627
556	119955	95404
557	120161	95181
558	120365	94957
559	120555	94722
560	120748	94489
561	120942	94257
562	121136	94025
563	121322	93788
564	121516	93557
565	121714	93328
566	121898	93089
567	122091	92858
568	122285	92627
569	122480	92397
570	122673	92166
571	122869	91937
572	123064	91708
573	123260	91478
574	123454	91248
575	123650	91020
576	123848	90793
577	124050	90569
578	124246	90341
579	124436	90109
580	124631	89880
581	124829	89653
582	125022	89424
583	125217	89195
584	125404	88962
585	125594	88730
586	125792	88504
587	125979	88271
588	126169	88040
589	126362	87810
590	126553	87581
591	126745	87351
592	126942	87126
593	127133	86896
594	127326	86667
595	127521	86440
596	127713	86212
597	127900	85979
598	128092	85751
599	128287	85524
600	128479	85296
601	128664	85063
602	128858	84837
603	129046	84606
604	129244	84382
605	129440	84157
606	129635	83931
607	129827	83704
608	130020	83477
609	130206	83246
610	130404	83023
611	130596	82796
612	130792	82572
613	130986	82346
614	131169	82114
615	131360	81886
616	131553	81661
617	131751	81438
618	131949	81215
619	132141	80990
620	132338	80767
621	132537	80545
622	132730	80320
623	132922	80094
624	133117	79870
625	133308	79644
626	133511	79425
627	133707	79202
628	133902	78979
629	134091	78751
630	134285	78528
631	134476	78302
632	134677	78083
633	134865	77855
634	135052	77628
635	135249	77407
636	135450	77187
637	135655	76970
638	135847	76746
639	136041	76523
640	136234	76299
641	136428	76076
642	136618	75851
643	136809	75627
644	137006	75406
645	137194	75180
646	137396	74962
647	137588	74739
648	137774	74512
649	137974	74293
650	138160	74067
651	138350	73843
652	138537	73618
653	138725	73392
654	138920	73171
655	139118	72952
656	139316	72733
657	139513	72513
658	139697	72286
659	139890	72064
660	140084	71843
661	140277	71621
662	140466	71398
663	140656	71175
664	140846	70952
665	141040	70731
666	141232	70510
667	141426	70289
668	141613	70065
669	141809	69846
670	142007	69628
671	142197	69405
672	142384	69182
673	142578	68962
674	142772	68742
675	142967	68522
676	143167	68305
677	143363	68086
678	143568	67872
679	143763	67653
680	143960	67435
681	144149	67213
682	144339	66992
683	144542	66777
684	144740	66559
685	144931	66338
686	145128	66121
687	145331	65906
688	145523	65686
689	145772	65492
690	145970	65274
691	146163	65055
692	146364	64839
693	146560	64621
694	146751	64401
695	146946	64183
696	147137	63963
697	147328	63743
698	147524	63526
699	147714	63306
700	147908	63087
701	148118	62876
702	148337	62668
703	148550	62458
704	148750	62243
705	148966	62034
706	149186	61826
707	149399	61616
708	149619	61409
709	149830	61198
710	150043	60988
711	150240	60771
712	150433	60553
713	150629	60336
714	150822	60118
715	151011	59898
716	151204	59680
717	151402	59464
718	151598	59247
719	151794	59031
720	151994	58816
721	152185	58597
722	152379	58380
723	152574	58163
724	152771	57947
725	152967	57731
726	153160	57514
727	153350	57295
728	153559	57084
729	153757	56869
730	153953	56653
731	154143	56435
732	154333	56217
733	154523	55999
734	154712	55780
735	154905	55563
736	155103	55348
737	155292	55131
738	155490	54916
739	155683	54699
740	155876	54482
741	156074	54268
742	156266	54051
743	156454	53833
744	156642	53615
745	156835	53399
746	157023	53181
747	157214	52965
748	157404	52748
749	157596	52532
750	157795	52318
751	157987	52102
752	158194	51891
753	158390	51676
754	158579	51459
755	158766	51242
756	158956	51025
757	159143	50808
758	159338	50593
759	159541	50381
760	159736	50166
761	159922	49949
762	160111	49733
763	160305	49518
764	160499	49303
765	160694	49089
766	160890	48875
767	161084	48661
768	161274	48445
769	161471	48231
770	161669	48018
771	161861	47803
772	162082	47597
773	162277	47383
774	162468	47168
775	162647	46949
776	162838	46734
777	163034	46521
778	163232	46308
779	163442	46099
780	163630	45883
781	163831	45671
782	164030	45459
783	164225	45245
784	164412	45030
785	164606	44816
786	164797	44602
787	164990	44388
788	165192	44177
789	165402	43967
790	165598	43754
791	165799	43543
792	165992	43329
793	166185	43116
794	166370	42900
795	166561	42686
796	166753	42472
797	166939	42257
798	167133	42044
799	167331	41832
800	167529	41620
801	167724	41408
802	167910	41193
803	168103	40980
804	168299	40768
805	168497	40556
806	168690	40343
807	168885	40131
808	169079	39918
809	169268	39705
810	169464	39493
811	169655	39279
812	169852	39068
813	170042	38854
814	170238	38643
815	170430	38430
816	170621	38217
817	170819	38006
818	171015	37794
819	171210	37582
820	171404	37370
821	171598	37158
822	171786	36945
823	171979	36733
824	172185	36524
825	172378	36312
826	172581	36102
827	172785	35892
828	172993	35683
829	173195	35473
830	173428	35270
831	173695	35073
832	174224	34928
833	174589	34750
834	174803	34542
835	175049	34339
836	175324	34143
837	175731	33971
838	175975	33768
839	176218	33565
840	176430	33356
841	176640	33146
842	176848	32936
843	177047	32724
844	177291	32521
845	177514	32313
846	177756	32109
847	177998	31905
848	178229	31699
849	178461	31493
850	178668	31282
851	178899	31076
852	179107	30866
853	179299	30653
854	179528	30446
855	179785	30244
856	180061	30045
857	180301	29840
858	180536	29634
859	180744	29423
860	180953	29213
861	181174	29004
862	181383	28794
863	181625	28589
864	181846	28380
865	182035	28167
866	182226	27954
867	182425	27742
868	182624	27530
869	182821	27318
870	183014	27105
871	183204	26892
872	183445	26686
873	183664	26477
874	183891	26270
875	184127	26063
876	184339	25853
877	184551	25643
878	184787	25437
879	185028	25231
880	185284	25027
881	185553	24824
882	185814	24620
883	186055	24414
884	186303	24208
885	186526	23999
886	186738	23789
887	186970	23581
888	187190	23372
889	187403	23162
890	187597	22949
891	187815	22739
892	188017	22528
893	188209	22315
894	188406	22103
895	188604	21891
896	188802	21679
897	189001	21467
898	189201	21256
899	189399	21044
900	189591	20831
901	189798	20621
902	189995	20409
903	190191	20197
904	190394	19986
905	190598	19775
906	190807	19564
907	191006	19353
908	191209	19142
909	191421	18931
910	191699	18728
911	191907	18517
912	192113	18306
913	192299	18093
914	192494	17881
915	192686	17669
916	192889	17458
917	193087	17247
918	193272	17034
919	193491	16825
920	193709	16615
921	193910	16404
922	194117	16193
923	194312	15982
924	194507	15770
925	194703	15559
926	194910	15348
927	195107	15137
928	195310	14926
929	195509	14715
930	195726	14506
931	196021	14301
932	196249	14092
933	196485	13884
934	197118	13703
935	197562	13508
936	198379	13338
937	198947	13150
938	199267	12944
939	199548	12737
940	199798	12527
941	200084	12319
942	200447	12116
943	200809	11912
944	201104	11704
945	201378	11495
946	201580	11281
947	201906	11075
948	202148	10863
949	202388	10652
950	202632	10440
951	202876	10229
952	203162	10019
953	203402	9807
954	203639	9595
955	203950	9386
956	204169	9173
957	204384	8960
958	204659	8749
959	204888	8537
960	205119	8324
961	205328	8110
962	205558	7897
963	205780	7684
964	205972	7470
965	206169	7256
966	206360	7042
967	206559	6828
968	206766	6614
969	206964	6400
970	207155	6186
971	207352	5973
972	207554	5759
973	207752	5545
974	207946	5331
975	208178	5119
976	208480	4907
977	208758	4696
978	208967	4482
979	209177	4268
980	209376	4055
981	209595	3841
982	209809	3628
983	210013	3414
984	210201	3201
985	210400	2987
986	210601	2773
987	210797	2560
988	211072	2347
989	211307	2134
990	211518	1920
991	211740	1707
992	211950	1494
993	212138	1280
994	212333	1067
995	212526	853
996	212722	640
997	212922	426
998	213112	213
999	213308	0
